id,video_id,frame,bb_left,bb_top,bb_width,bb_height,class_id
0,1,4,1407,0,230,49,1
1,1,5,1395,0,237,66,1
2,1,6,1373,0,251,91,1
3,1,7,1360,0,263,121,1
4,1,8,1347,0,279,151,1
5,1,9,1337,0,283,178,1
6,1,10,1329,0,284,210,1
7,1,11,1324,0,307,236,1
8,1,12,1319,0,308,269,1
9,1,13,1304,0,327,299,1
10,1,14,1320,0,311,337,1
11,1,15,1700,0,215,238,0
12,1,15,1299,0,338,365,1
13,1,16,1314,0,327,408,1
14,1,16,1651,0,270,255,0
15,1,17,1634,0,277,279,0
16,1,17,1330,0,315,434,1
17,1,18,1303,0,331,439,0
18,1,18,1606,0,297,315,0
19,1,18,1334,7,332,474,1
20,1,19,1596,0,295,340,0
21,1,19,1313,0,333,471,0
22,1,19,1340,35,340,479,1
23,1,20,1590,0,282,394,0
24,1,20,1817,0,104,241,1
25,1,20,1327,32,311,487,0
26,1,20,1359,72,343,496,1
27,1,21,1806,0,115,329,1
28,1,21,1596,0,257,357,0
29,1,21,1335,56,322,491,0
30,1,21,1360,99,359,506,1
31,1,22,1359,96,359,508,0
32,1,22,1598,9,263,423,0
33,1,22,1381,134,367,528,1
34,1,22,1779,0,142,362,1
35,1,23,1767,0,154,359,1
36,1,23,1602,30,252,400,0
37,1,23,1362,119,360,518,0
38,1,23,1393,159,371,538,1
39,1,24,1602,65,258,438,0
40,1,24,1395,167,368,534,0
41,1,24,1413,209,387,548,1
42,1,24,1758,0,163,372,1
43,1,25,1757,0,164,396,1
44,1,25,1434,234,359,560,1
45,1,25,1410,203,418,533,0
46,1,25,1609,89,266,435,0
47,1,26,1439,284,423,545,1
48,1,26,1430,244,387,541,0
49,1,26,1615,128,273,369,0
50,1,26,1715,2,205,409,1
51,1,27,1447,276,401,552,0
52,1,27,1482,316,404,575,1
53,1,27,1661,7,260,447,1
54,1,27,1603,151,312,368,0
55,1,28,1517,363,404,561,1
56,1,28,1485,316,436,606,0
57,1,28,1589,190,332,414,0
58,1,28,1596,39,325,391,1
59,1,29,1507,345,414,584,0
60,1,29,1603,211,318,393,0
61,1,29,1574,66,347,383,1
62,1,29,1709,0,212,110,1
63,1,29,1537,397,384,592,1
64,1,30,1567,444,354,601,1
65,1,30,1540,393,381,595,0
66,1,30,1626,256,295,316,0
67,1,30,1541,102,360,469,1
68,1,30,1628,0,255,145,1
69,1,31,1605,0,244,166,1
70,1,31,1598,479,323,602,1
71,1,31,1566,424,355,609,0
72,1,31,1517,127,368,471,1
73,1,31,1639,285,282,308,0
74,1,32,1537,0,258,201,1
75,1,32,1603,475,318,606,0
76,1,32,1680,324,241,372,0
77,1,32,1481,164,368,560,1
78,1,32,1641,529,280,552,1
79,1,33,1635,503,286,578,0
80,1,33,1700,352,221,370,0
81,1,33,1455,185,377,578,1
82,1,33,1486,0,281,225,1
83,1,33,1668,563,253,518,1
84,1,34,1457,0,263,268,1
85,1,34,1719,621,202,460,1
86,1,34,1743,395,178,300,0
87,1,34,1415,225,398,585,1
88,1,34,1673,556,248,525,0
89,1,35,1704,602,217,479,0
90,1,35,1766,434,155,321,0
91,1,35,1380,0,310,293,1
